CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,PRICE,PRICE_PREDICTION,is_train,model_name,model_version,date
0.01951,17.5,1.38,0.0,0.4161,7.104,59.5,9.2229,3.0,216.0,18.6,393.24,8.05,33.0,31.42199999999999,1,Random Forest Regressor,1,2020-08-10
0.37578,0.0,10.59,1.0,0.489,5.404,88.6,3.665,4.0,277.0,18.6,395.24,23.98,19.3,18.266999999999985,1,Random Forest Regressor,1,2020-08-10
0.17171,25.0,5.13,0.0,0.453,5.966,93.4,6.8185,8.0,284.0,19.7,378.08,14.44,16.0,17.112000000000002,1,Random Forest Regressor,1,2020-08-10
0.07013,0.0,13.89,0.0,0.55,6.642,85.1,3.4211,5.0,276.0,16.4,392.78,9.69,28.7,26.15199999999999,1,Random Forest Regressor,1,2020-08-10
0.07896,0.0,12.83,0.0,0.437,6.273,6.0,4.2515,5.0,398.0,18.7,394.92,6.78,24.1,24.04199999999997,1,Random Forest Regressor,1,2020-08-10
0.09744,0.0,5.96,0.0,0.499,5.841,61.4,3.3779,5.0,279.0,19.2,377.56,11.41,20.0,20.615,1,Random Forest Regressor,1,2020-08-10
19.6091,0.0,18.1,0.0,0.671,7.313,97.9,1.3163,24.0,666.0,20.2,396.9,13.44,15.0,20.467000000000006,1,Random Forest Regressor,1,2020-08-10
0.33045,0.0,6.2,0.0,0.507,6.086,61.5,3.6519,8.0,307.0,17.4,376.75,10.88,24.0,22.899999999999995,1,Random Forest Regressor,1,2020-08-10
4.83567,0.0,18.1,0.0,0.583,5.905,53.2,3.1523,24.0,666.0,20.2,388.22,11.45,20.6,20.14899999999998,1,Random Forest Regressor,1,2020-08-10
0.08387,0.0,12.83,0.0,0.437,5.874,36.6,4.5026,5.0,398.0,18.7,396.06,9.1,20.3,20.903999999999975,1,Random Forest Regressor,1,2020-08-10
9.72418,0.0,18.1,0.0,0.74,6.406,97.2,2.0651,24.0,666.0,20.2,385.96,19.52,17.1,16.24899999999998,1,Random Forest Regressor,1,2020-08-10
0.46296,0.0,6.2,0.0,0.504,7.412,76.9,3.6715,8.0,307.0,17.4,376.14,5.25,31.7,32.899999999999956,1,Random Forest Regressor,1,2020-08-10
0.14932,25.0,5.13,0.0,0.453,5.741,66.2,7.2254,8.0,284.0,19.7,395.11,13.15,18.7,18.655000000000015,1,Random Forest Regressor,1,2020-08-10
0.08199,0.0,13.92,0.0,0.437,6.009,42.3,5.5027,4.0,289.0,16.0,396.9,10.4,21.7,21.994000000000014,1,Random Forest Regressor,1,2020-08-10
5.69175,0.0,18.1,0.0,0.583,6.114,79.8,3.5459,24.0,666.0,20.2,392.68,14.98,19.1,18.84099999999998,1,Random Forest Regressor,1,2020-08-10
0.22876,0.0,8.56,0.0,0.52,6.405,85.4,2.7147,5.0,384.0,20.9,70.8,10.63,18.6,18.638999999999974,1,Random Forest Regressor,1,2020-08-10
0.09252,30.0,4.93,0.0,0.428,6.606,42.2,6.1899,6.0,300.0,16.6,383.78,7.37,23.3,23.785,1,Random Forest Regressor,1,2020-08-10
22.5971,0.0,18.1,0.0,0.7,5.0,89.5,1.5184,24.0,666.0,20.2,396.9,31.99,7.4,8.484999999999992,1,Random Forest Regressor,1,2020-08-10
0.7258,0.0,8.14,0.0,0.538,5.727,69.5,3.7965,4.0,307.0,21.0,390.95,11.28,18.2,17.891000000000023,1,Random Forest Regressor,1,2020-08-10
0.06129,20.0,3.33,1.0,0.4429,7.645,49.7,5.2119,5.0,216.0,14.9,377.07,3.01,46.0,45.861000000000004,1,Random Forest Regressor,1,2020-08-10
0.11432,0.0,8.56,0.0,0.52,6.781,71.3,2.8561,5.0,384.0,20.9,395.58,7.67,26.5,25.824999999999992,1,Random Forest Regressor,1,2020-08-10
0.00632,18.0,2.31,0.0,0.538,6.575,65.2,4.09,1.0,296.0,15.3,396.9,4.98,24.0,24.33900000000001,1,Random Forest Regressor,1,2020-08-10
0.05561,70.0,2.24,0.0,0.4,7.041,10.0,7.8278,5.0,358.0,14.8,371.58,4.74,29.0,33.177,1,Random Forest Regressor,1,2020-08-10
4.87141,0.0,18.1,0.0,0.614,6.484,93.6,2.3053,24.0,666.0,20.2,396.21,18.68,16.7,16.478000000000012,1,Random Forest Regressor,1,2020-08-10
0.11504,0.0,2.89,0.0,0.445,6.163,69.6,3.4952,2.0,276.0,18.0,391.83,11.34,21.4,21.51700000000002,1,Random Forest Regressor,1,2020-08-10
9.18702,0.0,18.1,0.0,0.7,5.536,100.0,1.5804,24.0,666.0,20.2,396.9,23.6,11.3,10.220999999999995,1,Random Forest Regressor,1,2020-08-10
0.06127,40.0,6.41,1.0,0.447,6.826,27.6,4.8628,4.0,254.0,17.6,393.45,4.16,33.1,32.06899999999997,1,Random Forest Regressor,1,2020-08-10
0.08826,0.0,10.81,0.0,0.413,6.417,6.6,5.2873,4.0,305.0,19.2,383.73,6.72,24.2,23.781,1,Random Forest Regressor,1,2020-08-10
0.1029,30.0,4.93,0.0,0.428,6.358,52.9,7.0355,6.0,300.0,16.6,372.75,11.22,22.2,22.199000000000016,1,Random Forest Regressor,1,2020-08-10
6.96215,0.0,18.1,0.0,0.7,5.713,97.0,1.9265,24.0,666.0,20.2,394.43,17.11,15.1,15.249999999999991,1,Random Forest Regressor,1,2020-08-10
8.49213,0.0,18.1,0.0,0.584,6.348,86.1,2.0527,24.0,666.0,20.2,83.45,17.64,14.5,14.982999999999997,1,Random Forest Regressor,1,2020-08-10
